"Shipment","Invoice","Manager","Name","Unit","Count","Price_per_one","Sum","Cost_price","Year","Category","Subcategory"
"MD-36-23-001 ООО Профессиональные кабельные магистрали","2157","Поркашян Геворг","Рядное кабельное крепление РКК-25/40","компл","500","129","64500","55","2023","Крепление","РКК"
"MD-36-23-002 ООО ПКФ Электрощит","2171","Антипенко Елена","Рядное кабельное крепление РКК-25/40","компл","189","215","40635","57","2023","Крепление","РКК"
"MD-36-23-003 ООО Эркатек","2138","Кира Ярослав","Короб заземления КЗЭ-О-3х035","шт","1","122141.25","122141.25","48100","2023","Короб",""
"MD-36-23-004 ООО  КраСур","2172","Антипенко Елена","Рядное кабельное крепление РКК-40/60 с крепежом","компл","12","366","4392","125","2023","Крепление","РКК"
"MD-36-23-005 ЗАО Стройэнергокомплект","2065","Сонин Алексей","Профиль монтажный МСП-41-Н","м","168","808.86","135888.48","274.7745","2023","МСМТ","Профиль МС"
"MD-36-23-005 ЗАО Стройэнергокомплект","2065","Сонин Алексей","Консоль МСК-41/450-Н","шт","504","702","353808","165.347325","2023","МСМТ","Консоль МС"
"MD-36-23-005 ЗАО Стройэнергокомплект","2065","Сонин Алексей","Анкер-болт М12х145","шт","336","157.6","52953.6","87.48","2023","Метизы",""
"MD-36-23-005 ЗАО Стройэнергокомплект","2065","Сонин Алексей","Болт с шест. головкой М10х25 оцинк.","шт","84","9.44","792.96","4.9179","2023","Метизы",""
"MD-36-23-005 ЗАО Стройэнергокомплект","2065","Сонин Алексей","Болт с шест.головкой М12х30 оцинк.","шт","1008","10.6","10684.8","8","2023","Метизы",""
"MD-36-23-005 ЗАО Стройэнергокомплект","2065","Сонин Алексей","Винт с полукруглой головкой М8х25 оцинк.","шт","1008","9.78","9858.24","3.081","2023","Метизы",""
"MD-36-23-005 ЗАО Стройэнергокомплект","2065","Сонин Алексей","Шайба плоская А8,4 оцинк.","шт","1008","3","3024","0.4524","2023","Метизы",""
"MD-36-23-005 ЗАО Стройэнергокомплект","2065","Сонин Алексей","Шайба плоская А10,5 оцинк.","шт","84","2.12","178.08","0.7956","2023","Метизы",""
"MD-36-23-005 ЗАО Стройэнергокомплект","2065","Сонин Алексей","Шайба плоская А13 оцинк.","шт","1008","3.08","3104.64","1.30065","2023","Метизы",""
"MD-36-23-005 ЗАО Стройэнергокомплект","2065","Сонин Алексей","Шайба монтажная МСШ-13-Н","шт","336","70.2","23587.2","21.12","2023","Шайба монтажная",""
"MD-36-23-005 ЗАО Стройэнергокомплект","2065","Сонин Алексей","Монтажная гайка МСГ-М8","шт","1008","89.7","90417.6","12.96","2023","Гайка монтажная",""
"MD-36-23-005 ЗАО Стройэнергокомплект","2065","Сонин Алексей","Монтажная гайка МСГ-М10","шт","84","89.7","7534.8","13.71","2023","Гайка монтажная",""
"MD-36-23-005 ЗАО Стройэнергокомплект","2065","Сонин Алексей","Монтажная гайка МСГ-М12","шт","1008","89.7","90417.6","14.95","2023","Гайка монтажная",""
"MD-36-23-005 ЗАО Стройэнергокомплект","2065","Сонин Алексей","Декоративная крышка МСЕ-41","шт","504","10.92","5503.68","5","2023","Декоративная крышка",""
"MD-36-23-005 ЗАО Стройэнергокомплект","2065","Сонин Алексей","ЛП-400-100-Н Лоток листовой перф.замковый прямая секция т. 1,0 мм L=3м (гор.цинк)","шт","150","4372.92","655938","","2023","Лоток","Лоток перфорированный"
"MD-36-23-005 ЗАО Стройэнергокомплект","2065","Сонин Алексей","ЛГК-400-Н Лоток листовой замковый крышка прямой секции т. 1,0 мм L=3м (гор.цинк)","шт","150","3148.98","472347","","2023","Лоток","Крышки листовые"
"MD-36-23-005 ЗАО Стройэнергокомплект","2065","Сонин Алексей","ЛС-100 Лоток листовой соединитель прямой (комплект с метизами) (гор.цинк)","шт","300","197.42","59226","","2023","Лоток","Фасонки листовые"
"MD-36-23-005 ЗАО Стройэнергокомплект","2065","Сонин Алексей","ЛСУ-100 Лоток листовой соединитель угловой (комплект с метизами) (гор.цинк)","шт","24","268.1","6434.4","","2023","Лоток","Фасонки листовые"
"MD-36-23-006 ООО КМ-профиль","2155","Поркашян Геворг","Высоковольтное кабельное крепление ВКК-65/90","компл","50","475.2","23760","148","2023","Крепление","ВКК"
"MD-36-23-006 ООО КМ-профиль","2155","Поркашян Геворг","Рядное кабельное крепление РКК-25/40","компл","600","129","77400","55","2023","Крепление","РКК"
"MD-36-23-006 ООО КМ-профиль","2155","Поркашян Геворг","Рядное кабельное крепление РКК-40/60","компл","500","165","82500","77","2023","Крепление","РКК"
"MD-36-23-006 ООО КМ-профиль","2155","Поркашян Геворг","Силиконовый уплотнитель ПСТ-80","м","10","1524.6","15246","700","2023","ПСТ",""
"MD-36-23-007 ООО Профессиональные кабельные магистрали","1000","Поркашян Геворг","Высоковольтное кабельное крепление ВКК-100/125","компл","80","645","51600","157","2023","Крепление","ВКК"
"MD-36-23-007 ООО Профессиональные кабельные магистрали","1000","Поркашян Геворг","Силиконовый уплотнитель ПСТ-80","м","16","1524.6","24393.6","700","2023","ПСТ",""
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Анкер-болт М12х145","шт","6596","157.6","1039529.6","87.48","2023","Метизы",""
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Болт с шест. головкой М10х25 оцинк.","шт","3293","11.1","36552.3","4.9179","2023","Метизы",""
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Болт с шест. головкой М12х25 оцинк.","шт","6","18.3","109.8","7.1877","2023","Метизы",""
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Болт с шест. головкой М12х35 оцинк.","шт","24","23.8","571.2","8.8413","2023","Метизы",""
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Монтажная гайка МСГ-М10","шт","3293","116","381988","13.71","2023","Гайка монтажная",""
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Монтажная гайка МСГ-М12","шт","9010","116","1045160","14.95","2023","Гайка монтажная",""
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Монтажная гайка МСГ-М16","шт","2096","116","243136","20.04","2023","Гайка монтажная",""
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Гайка шестигранная М12 оцинк.","шт","29294","10.3","301728.2","3.3735","2023","Метизы",""
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Гайка шестигранная М16 оцинк.","шт","8384","12.8","107315.2","6.4935","2023","Метизы",""
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Консоль МСК-41Д/1000-Н","шт","2","3398.4","6796.8","634.6385","2023","МСМТ","Консоль МС"
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Высоковольтное кабельное крепление ВКК-65/90","компл","42","673.2","28274.4","164","2023","Крепление","ВКК"
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Высоковольтное кабельное крепление ВКК3-65/90","компл","500","2267.8","1133900","767","2023","Крепление","ВКК"
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Универсальное кабельное крепление УКК3-35/55","компл","2500","657.9","1644750","252","2023","Крепление","УКК"
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Декоративная крышка МСЕ-41","шт","6586","14.2","93521.2","5","2023","Декоративная крышка",""
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Силиконовый уплотнитель ПСТ-80","м","6","1851.3","11107.8","700","2023","ПСТ",""
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Профиль монтажный МСП-41-Н","м","138","995.52","137381.76","274.7745","2023","МСМТ","Профиль МС"
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Скоба-соединитель МСС-41-Н","шт","2","442.56","885.12","35.112","2023","МСМТ","С-с МС"
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Шайба монтажная МСШ-13-С","шт","8694","91.3","793762.2","21.12","2023","Шайба монтажная",""
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Шайба монтажная МСШ-13-Н","шт","6","91.3","547.8","21.12","2023","Шайба монтажная",""
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Шайба плоская А10,5 оцинк.","шт","3293","2.5","8232.5","0.7956","2023","Метизы",""
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Шайба плоская А13 оцинк.","шт","18170","3.6","65412","1.30065","2023","Метизы",""
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Шайба плоская А17 оцинк.","шт","6288","4.9","30811.2","2.2035","2023","Метизы",""
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Шарнир МСН-М12-1-Н","шт","6","2280.96","13685.76","250.6266","2023","МСМТ","Шарнир МС"
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Шпилька резьбовая М12х1000 оцинк.","шт","2245","140.4","315198","110","2023","Метизы",""
"MD-36-23-008 АО СЭМ","2077","Филиппов Андрей","Шпилька резьбовая М12х200 мм, оцинк","шт","54","28.8","1555.2","22","2023","Метизы",""
"MD-36-23-009 АО СЭМ","2170","Филиппов Андрей","Профиль монтажный МСП-41-Н","м","1212","995.52","1206570.24","274.7745","2023","МСМТ","Профиль МС"
"MD-36-23-010 ООО НПК Химстройэнерго","7","Кира Ярослав","Опора МСО-21-62-Н","шт","60","1166.4","69984","155.496","2023","МСМТ","Опора МС"
"MD-36-23-010 ООО НПК Химстройэнерго","7","Кира Ярослав","Уголок МСУ-8/90-Н","шт","60","699.84","41990.4","67.716","2023","МСМТ","Уголок МС"
"MD-36-23-010 ООО НПК Химстройэнерго","7","Кира Ярослав","Монтажная гайка МСГ-М12","шт","100","124.2","12420","14.95","2023","Гайка монтажная",""
"MD-36-23-010 ООО НПК Химстройэнерго","7","Кира Ярослав","Шпилька резьбовая М12х1000 оцинк.","шт","50","120","6000","80","2023","Метизы",""
"MD-36-23-011 ООО СМНУ","2059","Антипенко Елена","Рядное кабельное крепление РКК-25/40","компл","36","215","7740","57","2023","Крепление","РКК"
"MD-36-23-011 ООО СМНУ","2059","Антипенко Елена","Шпилька резьбовая М10х1000 оцинк.","шт","72","96","6912","92","2023","Метизы",""
"MD-36-23-011 ООО СМНУ","2059","Антипенко Елена","Гайка шестигранная М10 оцинк.","шт","72","5.4","388.8","2.436","2023","Метизы",""
"MD-36-23-011 ООО СМНУ","2059","Антипенко Елена","Шайба плоская А10,5 оцинк.","шт","72","2.12","152.64","0.8976","2023","Метизы",""
"MD-36-23-011 ООО СМНУ","2059","Антипенко Елена","Монтажная гайка МСГ-М10","шт","72","138","9936","13.71","2023","Гайка монтажная",""
"MD-36-23-011 ООО СМНУ","2059","Антипенко Елена","Консоль МСК-41/200-Н","шт","36","900","32400","121.0612","2023","МСМТ","Консоль МС"
"MD-36-23-011 ООО СМНУ","2059","Антипенко Елена","Анкер-забивной М10х40","шт","72","27.6","1987.2","10.4352","2023","Метизы",""
"MD-36-23-012 ООО ПрофЭС","2074","Оренбуркин Никита","Балочный зажим МСБ-21-41-Н","шт","40","1209.6","48384","200.6226","2023","МСМТ","Балочный зажим"
"MD-36-23-012 ООО ПрофЭС","2074","Оренбуркин Никита","Универсальный шарнир МСН-У-М12-Н","шт","40","950.4","38016","67.338","2023","МСМТ","Шарнир МС"
"MD-36-23-012 ООО ПрофЭС","2074","Оренбуркин Никита","Шайба монтажная МСШ-11-Н","шт","40","91.8","3672","21.12","2023","Шайба монтажная",""
"MD-36-23-012 ООО ПрофЭС","2074","Оренбуркин Никита","Монтажная гайка МСГ-М10","шт","40","117","4680","12.71","2023","Гайка монтажная",""
"MD-36-23-012 ООО ПрофЭС","2074","Оренбуркин Никита","Болт с шест. головкой М10х25 оцинк.","шт","40","9.44","377.6","4.2874","2023","Метизы",""
"MD-36-23-012 ООО ПрофЭС","2074","Оренбуркин Никита","Гайка шестигранная М10 оцинк.","шт","120","5.4","648","1.74","2023","Метизы",""
"MD-36-23-012 ООО ПрофЭС","2074","Оренбуркин Никита","Шайба плоская А10,5 оцинк.","шт","160","2.12","339.2","0.7548","2023","Метизы",""
"MD-36-23-012 ООО ПрофЭС","2074","Оренбуркин Никита","Профиль монтажный МСП-41-Н L=800мм т.2,5мм","","40","1161.6","46464","270.6","2023","МСМТ","Профиль МС"
"MD-36-23-012 ООО ПрофЭС","2074","Оренбуркин Никита","ЛЛП-200-80-Н Лоток лестничный прямая секция т.1,5 мм L=6 м (гор. цинк)","шт","10","12750","127500","","2023","Лоток лестничный","Лоток лестничный"
"MD-36-23-012 ООО ПрофЭС","2074","Оренбуркин Никита","ЛЛП-400-100-Н Лоток лестничный прямая секция т.1,5 мм L=6 м (гор. цинк)","шт","10","14850","148500","","2023","Лоток лестничный","Лоток лестничный"
"MD-36-23-012 ООО ПрофЭС","2074","Оренбуркин Никита","ЛС-80 Лоток лестничный  соединитель прямой (комплект с метизами) (гор. цинк)","шт","20","495","9900","","2023","Лоток лестничный","Фасонки лестничные"
"MD-36-23-012 ООО ПрофЭС","2074","Оренбуркин Никита","ЛС-100 Лоток лестничный  соединитель прямой (комплект с метизами) (гор. цинк)","шт","20","495","9900","","2023","Лоток лестничный","Фасонки лестничные"
"MD-36-23-013 ООО Электротехническая промышленная компания","2163","Антипенко Елена","Рядное кабельное крепление РКК-40/60","компл","90","275","24750","82","2023","Крепление","РКК"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Профиль монтажный МСП-41-Н","м","126","933.3","117595.8","274.7745","2023","МСМТ","Профиль МС"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Профиль монтажный МТП-100-Н","м","18","4469.85","80457.3","1379.4","2023","МСМТ","Профиль МТ"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Консоль МСК-41/300-Н","шт","134","675","90450","124.13115","2023","МСМТ","Консоль МС"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Консоль МСК-41/400-Н","шт","23","810","18630","151.6086","2023","МСМТ","Консоль МС"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Консоль МСК-41/450-Н","шт","6","810","4860","165.347325","2023","МСМТ","Консоль МС"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Консоль МСК-41Д/1000-Н","шт","6","3186","19116","634.6385","2023","МСМТ","Консоль МС"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Консоль МТК-100/300-Н","","16","1743.75","27900","752","2023","МСМТ","Консоль МТ"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Уголок МСУ-4/90-Н","шт","33","433.8","14315.4","38.874","2023","МСМТ","Уголок МС"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Соединитель МСД-3-Н","шт","74","765","56610","66.462","2023","МСМТ","Соединитель МС"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Соединитель МСД-4-Н","шт","45","1192.5","53662.5","112.86","2023","МСМТ","Соединитель МС"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Соединитель МТД-3-Н","шт","12","1858.5","22302","474.48","2023","МСМТ","Соединитель МТ"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Соединитель МТД-4-Н","шт","2","993.6","1987.2","801.344","2023","МСМТ","Соединитель МТ"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Уголок МТУ-4/90-Н","шт","2","1044","2088","340.044","2023","МСМТ","Уголок МС"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Анкер-болт М12х110","шт","280","111.59","31245.2","82.08","2023","Метизы",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Анкер-болт М16х130","шт","64","282","18048","176.04","2023","Метизы",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Болт с шест. головкой М10х25 оцинк.","шт","8","7.08","56.64","4.9179","2023","Метизы",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Болт с шест. головкой М12х25 оцинк.","шт","587","13.73","8059.51","7.1877","2023","Метизы",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Болт с шест. головкой М12х35 оцинк.","шт","58","15.53","900.74","8.8413","2023","Метизы",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Болт с шест. головкой М12х140 оцинк.","","3","51.75","155.25","47","2023","Метизы",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Болт с шест. головкой М16х140 оцинк.","","96","72","6912","67","2023","Метизы",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Винт с полукруглой головкой М8х25 оцинк.","шт","58","7.34","425.72","3.081","2023","Метизы",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Шайба плоская А8,4 оцинк.","шт","58","2.25","130.5","0.4524","2023","Метизы",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Шайба плоская А10,5 оцинк.","шт","8","1.59","12.72","0.7956","2023","Метизы",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Шайба плоская А13 оцинк.","шт","651","2.31","1503.81","1.30065","2023","Метизы",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Шайба плоская А17 оцинк.","шт","192","3.3","633.6","2.2035","2023","Метизы",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Гайка шестигранная М12 оцинк.","шт","3","6.6","19.8","3.3735","2023","Метизы",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Гайка шестигранная М16 оцинк.","шт","96","8.7","835.2","6.4935","2023","Метизы",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Монтажная гайка МСГ-М8","шт","58","97","5626","12.96","2023","Гайка монтажная",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Монтажная гайка МСГ-М10","шт","8","97","776","13.71","2023","Гайка монтажная",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Монтажная гайка МСГ-М12","шт","645","97","62565","14.95","2023","Гайка монтажная",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Декоративная крышка МСЕ-41","шт","41","9","369","5","2023","Декоративная крышка",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Плита фальшпола ПФ-СК 36 СТ","","85","4057","344845","","2023","Фальшпол",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Накладка фиксирующая НФ-41","шт","315","120","37800","14","2023","Накладка фиксирующая",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Пластина регулировочная самоклеящаяся алюм. 20х20х0,2 мм, рул. 1000 шт","","1","4500","4500","","2023","ПРС",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Лента уплотнительная 16х5 мм, м","","55","150","8250","","2023","Лента",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","Съемник для панелей фальшпола вакуумный","","1","3500","3500","","2023","Фальшпол",""
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","ЛГ-300-80-Н Лоток листовой глухой замковый прямая секция т.1,0 мм L=3 м (гор. цинк)","","9","3552","31968","","2023","Лоток","Лоток глухой"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","ЛП-400-80-Н Лоток листовой перф. замковый прямая секция т.1,0 мм L=3 м (гор. цинк)","","4","4215","16860","","2023","Лоток","Лоток перфорированный"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","ЛГК-300-Н Лоток листовой замковый крышка прямой секции т.1,0 мм L=3 м (гор. цинк)","","9","2446","22014","","2023","Лоток","Крышки листовые"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","ЛГК-400-Н Лоток листовой замковый крышка прямой секции т.1,0 мм L=3 м (гор. цинк)","","4","3155","12620","","2023","Лоток","Крышки листовые"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","ЛГП-300-80-Н Лоток листовой угол горизонтальный 90 град. т.1,0 мм (комплект с крышкой и метизами) (гор. цинк)","","4","1450","5800","","2023","Лоток","Фасонки листовые"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","ЛГТ-О-300-80-Н Лоток листовой угол Т-образный отвод т.1,0 мм (комплект с крышкой и метизами) (гор. цинк)","","4","2071","8284","","2023","Лоток","Фасонки листовые"
"MD-36-23-014 ООО КИМ","1944","Поркашян Геворг","ЛГТССНл-400-80-Н Лоток листовой Т-образный спуск со сменой направления левый т.1,0 мм (комплект с крышкой и метизами) (гор. цинк)","","2","2077","4154","","2023","Лоток","Фасонки листовые"
"MD-36-23-015 ООО ЭлектроСтрой","2158","Оренбуркин Никита","Короб заземления КЗЭ-О-3х050","шт","4","146569.5","586278","36579.696","2023","Короб",""
"MD-36-23-016 АО ДКС","2152","Филиппов Андрей","Силиконовый уплотнитель ПСТ-80","м","192","1666.35","319939.2","700","2023","ПСТ",""
"MD-36-23-016 АО ДКС","2152","Филиппов Андрей","Рядное кабельное крепление BHR 2006","компл","3000","163.76","491280","82","2023","Крепление","BHR"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Консоль МСК-41/120-Н","шт","3","360","1080","103.8531","2023","МСМТ","Консоль МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Консоль МСК-41/150-Н","шт","213","360","76680","103.8531","2023","МСМТ","Консоль МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Консоль МСК-41/250-Н","шт","370","360","133200","138.2693","2023","МСМТ","Консоль МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Консоль МСК-41/300-Н","шт","45","360","16200","155.4774","2023","МСМТ","Консоль МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Консоль МСК-41/320-Н","шт","3","432","1296","172.6855","2023","МСМТ","Консоль МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Консоль МСК-41/350-Н","шт","33","432","14256","172.6855","2023","МСМТ","Консоль МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Консоль МСК-41/400-Н","шт","19","432","8208","189.8936","2023","МСМТ","Консоль МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Консоль МСК-41/450-Н","шт","912","432","393984","207.1017","2023","МСМТ","Консоль МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Консоль МСК-41/500-Н","шт","9","489.6","4406.4","224.3098","2023","МСМТ","Консоль МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Консоль МСК-41/520-Н","шт","3","489.6","1468.8","379.1827","2023","МСМТ","Консоль МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Консоль МСК-41/720-Н","шт","3","633.6","1900.8","379.1827","2023","МСМТ","Консоль МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Консоль МСК-41/920-Н","шт","3","777.6","2332.8","379.1827","2023","МСМТ","Консоль МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Консоль МСК-41/950-Н","шт","4","777.6","3110.4","379.1827","2023","МСМТ","Консоль МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Опора МСО-3-Н","шт","413","221.28","91388.64","17.76","2023","МСМТ","Опора МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Опора МСО-2/2-Н","шт","3","255.84","767.52","75.48","2023","МСМТ","Опора МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Уголок МСУ-4/90-Н","шт","340","231.36","78662.4","45.88","2023","МСМТ","Уголок МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Соединитель МСД-2/1-Н","шт","370","345.6","127872","108.04","2023","МСМТ","Соединитель МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Соединитель МСД-3-Н","шт","700","408","285600","78.44","2023","МСМТ","Соединитель МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Соединитель МСД-4-Н","шт","910","636","578760","133.2","2023","МСМТ","Соединитель МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Соединитель МСД-3к-Н","шт","15","88.87","1333.05","54.76","2023","МСМТ","Соединитель МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Соединитель МСД-12-Н","шт","86","311.04","26749.44","109.52","2023","МСМТ","Соединитель МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Универсальный шарнир МСН-У-М12-Н","шт","12","418.18","5018.16","78.088","2023","МСМТ","Шарнир МС"
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Анкер-болт М10х110","шт","60","120","7200","86.4","2023","Метизы",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Анкер-болт М12х110","шт","3656","148.78","543939.68","102.6","2023","Метизы",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Болт с шест. головкой М10х25 оцинк.","шт","440","9.44","4153.6","5.2962","2023","Метизы",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Болт с шест. головкой М12х25 оцинк.","шт","14236","18.3","260518.8","7.7406","2023","Метизы",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Болт с шест. головкой М12х35 оцинк.","шт","3155","20.7","65308.5","9.5214","2023","Метизы",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Болт с шест. головкой М12х75 оцинк.","шт","688","45","30960","23","2023","Метизы",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Винт с полукруглой головкой М8х25 оцинк.","шт","880","9.44","8307.2","3.318","2023","Метизы",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Винт с полукруглой головкой М8х35 оцинк.","шт","3000","10.56","31680","4.011","2023","Метизы",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Шайба плоская А8,4 оцинк.","шт","3880","3","11640","0.5104","2023","Метизы",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Шайба плоская А10,5 оцинк.","шт","452","2.12","958.24","0.8976","2023","Метизы",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Шайба плоская А13 оцинк.","шт","18767","3.08","57802.36","1.4674","2023","Метизы",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Гайка шестигранная М10 оцинк.","шт","12","5.4","64.8","2.436","2023","Метизы",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Гайка шестигранная М12 оцинк.","шт","763","8.8","6714.4","3.633","2023","Метизы",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Шайба монтажная МСШ-9-Н","шт","3000","43.2","129600","21.12","2023","Шайба монтажная",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Шайба монтажная МСШ-13-Н","шт","660","43.2","28512","21.12","2023","Шайба монтажная",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Монтажная гайка МСГ-М8","шт","3880","55.2","214176","12.96","2023","Гайка монтажная",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Монтажная гайка МСГ-М10","шт","440","55.2","24288","13.71","2023","Гайка монтажная",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Монтажная гайка МСГ-М12","шт","17316","55.2","955843.2","14.95","2023","Гайка монтажная",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Декоративная крышка МСЕ-41","шт","1814","6.72","12190.08","5","2023","Декоративная крышка",""
"MD-36-23-017 ООО ИК Энергия","1509","Филиппов Андрей","Накладка фиксирующая НФ-41","шт","7350","120","882000","60","2023","Накладка фиксирующая",""
